Vendor_ID,Vendor_Name,Vendor_Category,Vendor_Circle,Service_Criticality,Region,Critical_Findings,High_Findings,Open_Risks,Compliance_Score,VAPT_Findings,Patch_Compliance,MFA_Enabled,Data_Access_Level,DLP_Violations,Security_Incidents,SLA_Breaches,Mitigation_Overdue_Days,Last_Assessment_Date,Assessment_Frequency,Risk_Review_Status
V0030,Sen PLC,Cyber Security Services,Mumbai,Low,East,0,6,6,85,2,84,Yes,Confidential,0,1,0,30,2026-05-15,Annually,Mitigation In Progress
V0031,Balasubramanian-Verma,Tower Maintenance,West Bengal,High,West,3,7,8,70,7,77,Yes,Internal,4,2,2,60,2025-11-18,Quarterly,Closed
V0032,"Bhasin, Goswami and Kar",Data Center Services,UP West,Medium,West,0,3,0,95,0,91,Yes,Sensitive,0,0,0,0,2025-12-20,Half-Yearly,Open
V0033,"Dara, Basu and Rajagopalan",Cyber Security Services,Andhra Pradesh,Critical,North,1,2,4,90,2,74,Yes,Internal,0,1,1,45,2026-03-10,Half-Yearly,Under Review
V0034,Handa-Kohli,Field Operations,Bihar,Low,East,6,6,9,65,7,72,Yes,Sensitive,4,1,1,30,2025-12-01,Annually,Mitigation In Progress
V0035,Doctor-Sharma,NOC Operations,Assam,High,North,4,8,10,75,5,75,No,Confidential,2,2,1,30,2025-08-17,Monthly,Open
V0036,"Ramakrishnan, Ram and Kunda",Fiber Operations,Noida,Low,North,1,4,4,80,4,85,No,Internal,1,2,0,15,2026-05-28,Quarterly,Mitigation In Progress
V0037,Bali Inc,RF Optimization,Maharashtra,Low,South,2,3,2,85,3,77,No,Public,1,1,1,15,2025-08-21,Monthly,Closed
V0038,Oommen Group,Tower Maintenance,Bihar,Low,South,4,7,6,70,7,67,No,Confidential,2,2,2,45,2025-08-25,Monthly,Under Review
V0039,Salvi PLC,Power Infrastructure,Assam,Critical,West,9,15,11,60,5,62,No,Internal,4,4,4,120,2026-06-06,Half-Yearly,Closed
V0040,Om-Johal,Power Infrastructure,West Bengal,Low,East,1,2,4,80,2,73,Yes,Sensitive,2,0,0,0,2025-09-30,Annually,Under Review
V0041,Bava Group,Managed Services,Noida,Critical,West,0,0,2,95,0,97,Yes,Internal,0,0,0,0,2026-04-17,Half-Yearly,Closed
V0042,Raman-Mody,Power Infrastructure,Delhi,High,West,4,12,8,75,5,68,No,Confidential,2,3,1,45,2025-08-17,Annually,Open
V0043,Oak-Rout,NOC Operations,Mohali,Medium,North,1,7,4,80,1,78,Yes,Internal,0,1,0,15,2025-10-16,Monthly,Mitigation In Progress
V0044,Nagarajan-Thakkar,Fiber Operations,Odisha,Critical,North,8,8,9,65,5,64,No,Confidential,5,5,3,60,2025-10-15,Annually,Open
V0045,Warrior Ltd,Field Operations,Odisha,Medium,West,1,0,2,85,0,94,Yes,Internal,0,0,0,0,2025-12-30,Half-Yearly,Mitigation In Progress
V0046,Roy-Ranganathan,Data Center Services,West Bengal,Medium,West,0,4,2,80,4,73,No,Confidential,1,1,2,45,2025-06-29,Monthly,Closed
V0047,Padmanabhan-Lata,IT Support,UP West,Medium,West,10,16,6,40,7,51,No,Internal,7,5,3,60,2025-10-17,Annually,Mitigation In Progress
V0048,Bhagat-Sachdev,Cloud Services,Haryana,Critical,West,0,1,1,85,0,86,Yes,Internal,0,0,0,0,2025-12-20,Half-Yearly,Under Review
V0049,Raghavan-Rao,Managed Services,Mohali,High,North,0,6,5,85,2,84,No,Internal,1,0,1,30,2025-10-08,Quarterly,Mitigation In Progress
V0050,Babu-D’Alia,Field Operations,Telangana,Low,South,0,2,8,90,1,73,Yes,Internal,0,0,1,0,2026-01-01,Monthly,Closed
V0051,"Pandit, De and Dhingra",Managed Services,UP East,Low,East,6,6,10,65,5,68,No,Internal,1,3,2,60,2026-04-30,Monthly,Closed
V0052,"Parmar, Venkataraman and Deep",Tower Maintenance,Maharashtra,Critical,North,0,4,3,80,2,95,Yes,Confidential,1,0,0,0,2026-01-23,Monthly,Closed
V0053,"Patla, Sekhon and Nair",Tower Maintenance,Madhya Pradesh,Low,North,8,12,6,40,7,56,No,Sensitive,4,3,5,90,2025-07-27,Monthly,Closed
V0054,"Dar, Suresh and Mall",Power Infrastructure,Noida,Medium,West,0,3,4,80,3,84,Yes,Internal,0,0,0,30,2026-04-19,Quarterly,Open
V0055,Ravel Ltd,Cloud Services,Mumbai,Critical,West,2,7,2,70,4,79,Yes,Public,0,2,0,15,2025-10-26,Half-Yearly,Under Review
V0056,Chaudhuri-Shankar,Network Equipment,Delhi,Critical,South,0,0,0,90,0,94,Yes,Sensitive,0,0,0,15,2026-04-15,Monthly,Mitigation In Progress
V0057,Pingle Ltd,Power Infrastructure,Assam,Low,South,1,4,2,70,2,87,Yes,Internal,0,1,0,15,2026-04-21,Quarterly,Under Review
V0058,"Nanda, Gaba and Hayer",Fiber Operations,Gurugram,Medium,North,0,1,1,95,0,98,Yes,Internal,0,0,0,0,2025-07-07,Annually,Open
V0059,"Salvi, Nadkarni and Chander",Power Infrastructure,Odisha,Low,East,5,8,4,70,6,75,No,Sensitive,2,2,3,90,2026-04-04,Monthly,Mitigation In Progress
V0060,Khanna Ltd,Network Equipment,Madhya Pradesh,Low,South,0,0,2,90,3,99,Yes,Public,0,0,0,15,2026-04-16,Half-Yearly,Closed
V0061,"Bassi, Basu and Shetty",Cyber Security Services,Andhra Pradesh,Medium,West,0,0,2,100,1,85,Yes,Confidential,0,0,1,15,2026-06-03,Annually,Under Review
V0062,"Kakar, Sani and Dixit",Fiber Operations,Karnataka,Critical,East,0,0,0,100,2,87,Yes,Internal,1,0,0,0,2025-10-14,Monthly,Closed
V0063,Butala-Walia,RF Optimization,Rajasthan,Low,East,0,2,5,95,2,85,Yes,Internal,0,0,0,15,2025-10-24,Quarterly,Under Review
V0064,"Sharaf, Balay and Dayal",Cyber Security Services,Gujarat,Medium,West,0,0,1,90,0,90,Yes,Public,1,0,0,15,2026-02-07,Annually,Mitigation In Progress
V0065,Patel-Pandit,RF Optimization,Andhra Pradesh,Medium,West,0,1,3,90,0,97,Yes,Confidential,0,0,0,0,2026-01-01,Half-Yearly,Under Review
V0066,Shukla-Sur,Cyber Security Services,Chandigarh,Critical,West,6,12,9,80,6,74,No,Internal,3,2,2,90,2026-05-28,Annually,Closed
V0067,"Sodhi, Gade and Bhatia",IT Support,Mumbai,Low,West,4,5,9,70,7,73,Yes,Public,2,1,2,30,2025-08-23,Monthly,Under Review
V0068,Saini and Sons,Tower Maintenance,Telangana,Low,West,3,6,2,75,2,72,No,Public,2,2,0,15,2025-11-15,Quarterly,Closed
V0069,Prabhu Group,Managed Services,Chandigarh,Low,West,0,1,0,90,0,96,Yes,Sensitive,0,0,0,0,2026-01-02,Monthly,Mitigation In Progress
V0070,"Vohra, Bail and Mangat",NOC Operations,Mohali,High,West,1,1,2,100,1,89,Yes,Public,0,0,0,0,2025-12-24,Annually,Open
V0071,Balan PLC,Network Equipment,Gurugram,High,North,0,0,1,85,3,89,No,Sensitive,0,0,0,0,2025-08-08,Monthly,Open
V0072,Dar-Sidhu,Network Equipment,Karnataka,Medium,South,3,6,6,80,4,74,Yes,Public,1,1,2,30,2026-06-17,Annually,Under Review
V0073,"Borra, Mann and Dutta",RF Optimization,Gujarat,Low,East,0,3,4,85,2,85,No,Sensitive,0,2,1,0,2026-02-24,Half-Yearly,Open
V0074,Borra-Sur,Cyber Security Services,Noida,Critical,North,3,9,10,75,6,64,Yes,Public,2,2,3,45,2025-10-29,Half-Yearly,Closed
V0075,Keer-Prabhakar,NOC Operations,West Bengal,Medium,North,0,2,4,80,2,98,Yes,Public,0,0,0,0,2025-08-23,Quarterly,Open
V0076,Bir PLC,NOC Operations,Kerala,Critical,East,1,6,3,80,2,77,Yes,Confidential,1,0,0,15,2026-01-29,Quarterly,Closed
V0077,Ranganathan and Sons,IT Support,UP West,High,West,0,2,4,80,1,100,Yes,Sensitive,0,0,0,0,2025-11-18,Annually,Under Review
V0078,"Sarna, Sandhu and Memon",Power Infrastructure,Mumbai,Critical,East,0,2,1,95,0,91,Yes,Sensitive,0,0,0,0,2026-02-15,Half-Yearly,Mitigation In Progress
V0079,"Pau, Khalsa and Warrior",Managed Services,Noida,Low,East,0,0,0,95,0,98,Yes,Confidential,0,0,0,0,2026-06-19,Half-Yearly,Mitigation In Progress
V0080,Madan Inc,Network Equipment,Odisha,Medium,North,1,2,6,70,2,79,No,Confidential,1,2,0,15,2025-07-04,Quarterly,Mitigation In Progress
V0081,Chokshi Ltd,IT Support,Mumbai,Medium,East,0,0,1,80,1,98,Yes,Confidential,1,0,0,0,2025-09-19,Annually,Closed
V0082,"Sama, Sen and Rajan",Network Equipment,Gurugram,Medium,North,1,2,5,80,2,85,No,Public,0,1,0,0,2025-10-26,Half-Yearly,Open
V0083,Mital PLC,Fiber Operations,Kerala,High,North,4,11,7,65,4,67,No,Sensitive,1,3,3,60,2025-09-26,Annually,Mitigation In Progress
V0084,Panchal-Rajan,Cyber Security Services,UP East,Medium,West,3,4,5,85,1,87,Yes,Internal,0,1,1,45,2025-07-12,Half-Yearly,Mitigation In Progress
V0085,Ranganathan-Mand,Fiber Operations,Noida,Low,East,0,0,2,90,0,92,Yes,Confidential,0,1,0,0,2025-07-18,Quarterly,Under Review
V0086,Ganesh Inc,Managed Services,Gurugram,Medium,North,0,0,2,80,1,98,Yes,Sensitive,0,0,1,0,2026-04-10,Annually,Closed
V0087,Vyas PLC,Network Equipment,Tamil Nadu,Low,East,4,5,6,65,4,70,Yes,Public,3,1,2,30,2026-06-23,Monthly,Closed
V0088,Saha-Toor,Cloud Services,Karnataka,High,East,3,11,5,70,6,60,Yes,Confidential,1,1,1,90,2025-11-30,Monthly,Under Review
V0089,Swamy Group,Cloud Services,Madhya Pradesh,High,West,0,3,0,100,1,94,Yes,Public,1,0,0,0,2025-09-01,Monthly,Mitigation In Progress
V0090,"Cheema, Sethi and Pathak",Power Infrastructure,Chandigarh,Critical,South,9,8,6,45,8,46,No,Confidential,3,4,4,90,2026-02-25,Annually,Mitigation In Progress
V0091,Raman and Sons,Cloud Services,Noida,High,North,0,4,6,80,2,82,Yes,Public,2,1,1,30,2026-01-13,Half-Yearly,Open
V0092,"Kapadia, Natt and Saini",Field Operations,Maharashtra,Low,North,0,3,1,90,0,98,Yes,Public,0,0,0,0,2026-06-13,Monthly,Under Review
V0093,"Gade, Bobal and Basu",Field Operations,Andhra Pradesh,High,South,0,0,1,100,2,97,Yes,Confidential,1,0,0,0,2025-12-16,Half-Yearly,Mitigation In Progress
V0094,"Bandi, Venkatesh and Devan",IT Support,Chandigarh,Medium,East,1,1,3,85,0,90,Yes,Public,0,0,0,0,2025-12-28,Half-Yearly,Closed
V0095,Pingle-Kalla,Managed Services,Noida,Low,West,3,9,6,70,4,69,Yes,Sensitive,3,1,1,60,2026-03-02,Annually,Mitigation In Progress
V0096,Dayal-Rout,RF Optimization,Karnataka,High,South,0,8,4,90,1,83,No,Internal,0,1,0,45,2025-08-06,Half-Yearly,Open
V0097,Seshadri-Ramesh,RF Optimization,UP East,Critical,East,1,3,3,85,1,76,No,Sensitive,0,1,1,30,2025-08-14,Monthly,Closed
V0098,Kamdar-Wali,IT Support,Rajasthan,Low,West,0,1,0,95,0,87,Yes,Sensitive,1,0,1,0,2026-04-25,Quarterly,Under Review
V0099,"Dani, Ben and Chadha",Cloud Services,Bihar,High,West,0,4,7,75,1,88,Yes,Confidential,1,0,0,0,2026-02-01,Annually,Under Review
V0100,Khalsa-Rajagopal,RF Optimization,Andhra Pradesh,Critical,North,1,6,8,75,1,86,No,Sensitive,1,1,1,15,2025-10-20,Quarterly,Mitigation In Progress
V0101,"Pandey, Badal and Toor",Fiber Operations,Assam,High,East,0,6,2,80,1,86,Yes,Internal,0,0,2,0,2026-04-30,Monthly,Under Review
V0102,"Randhawa, Karpe and Prasad",NOC Operations,Punjab,High,East,0,0,1,80,0,94,Yes,Internal,0,0,0,0,2025-10-17,Annually,Closed
V0103,"Rana, Mani and Iyer",Field Operations,Andhra Pradesh,Critical,South,2,8,4,75,2,86,Yes,Internal,1,2,0,0,2025-07-28,Monthly,Under Review
V0104,Nair LLC,Field Operations,Mumbai,High,North,4,6,4,75,6,72,Yes,Internal,1,2,2,60,2025-12-25,Annually,Closed
V0105,"Ram, Bhat and Sant",Field Operations,UP West,High,South,3,11,4,75,4,77,No,Sensitive,3,1,2,30,2026-03-23,Half-Yearly,Mitigation In Progress
V0106,Choudhury and Sons,RF Optimization,Bihar,Low,West,5,8,7,75,6,73,Yes,Sensitive,3,3,1,60,2025-12-28,Monthly,Under Review
V0107,"Nath, Sundaram and Trivedi",Network Equipment,Mumbai,Low,West,4,7,9,70,7,74,Yes,Public,1,2,1,90,2026-05-22,Half-Yearly,Closed
V0108,Wali PLC,Cloud Services,Gujarat,Low,East,0,1,0,85,2,87,Yes,Sensitive,0,0,0,0,2025-12-25,Half-Yearly,Closed
V0109,"Dhillon, Majumdar and Khosla",Data Center Services,Delhi,High,North,4,7,10,70,6,75,Yes,Internal,1,3,3,30,2025-12-16,Quarterly,Closed
V0110,Pandit and Sons,Data Center Services,Madhya Pradesh,High,East,2,4,8,75,1,73,No,Internal,0,0,0,15,2026-01-16,Monthly,Closed
V0111,Date LLC,Cloud Services,Karnataka,High,West,0,0,1,95,0,99,Yes,Public,0,0,0,0,2025-09-01,Quarterly,Closed
V0112,Gill PLC,Data Center Services,Gujarat,Low,North,4,7,8,80,4,69,No,Internal,3,2,1,45,2026-04-30,Half-Yearly,Open
V0113,"Atwal, Sengupta and Sani",RF Optimization,Delhi,High,East,1,2,4,80,5,76,No,Sensitive,1,0,0,30,2025-11-19,Quarterly,Mitigation In Progress
V0114,"Madan, Mital and Sankar",Fiber Operations,Chandigarh,High,North,4,9,8,70,6,63,Yes,Internal,1,2,2,90,2025-09-05,Half-Yearly,Under Review
V0115,Mody-De,NOC Operations,Odisha,Medium,South,0,1,0,90,1,87,Yes,Internal,0,0,0,0,2026-01-11,Half-Yearly,Under Review
V0116,Prabhakar-Kohli,RF Optimization,Kerala,Critical,North,1,1,1,100,1,94,No,Confidential,1,0,0,0,2025-06-29,Monthly,Closed
V0117,Bhattacharyya Group,Cloud Services,Bihar,High,North,0,3,3,95,0,99,Yes,Confidential,1,0,0,0,2026-04-06,Monthly,Closed
V0118,"Tak, Sunder and Barman",Data Center Services,Chandigarh,Critical,West,3,4,5,75,2,83,Yes,Public,2,1,0,30,2025-07-22,Monthly,Closed
V0119,Butala PLC,Cyber Security Services,Haryana,Critical,West,0,8,4,85,1,82,Yes,Public,2,1,0,0,2025-09-27,Quarterly,Closed
V0120,"Pandit, Kamdar and Sengupta",Tower Maintenance,Chandigarh,Low,South,5,8,4,70,6,63,No,Public,4,2,1,30,2026-03-08,Annually,Open
V0121,Sathe Inc,IT Support,Punjab,Medium,East,0,2,0,90,0,87,Yes,Sensitive,0,0,0,0,2026-02-14,Half-Yearly,Closed
V0122,Bhargava Ltd,NOC Operations,UP East,High,North,1,6,3,75,1,74,No,Confidential,1,0,0,0,2026-06-22,Quarterly,Open
V0123,Kulkarni-Dubey,Data Center Services,Gurugram,Critical,West,0,2,0,100,1,86,Yes,Confidential,0,0,1,0,2025-09-22,Half-Yearly,Under Review
V0124,Ramachandran PLC,RF Optimization,Mohali,Critical,West,1,6,5,80,1,81,Yes,Confidential,2,0,0,15,2026-05-26,Quarterly,Under Review
V0125,Kadakia LLC,Fiber Operations,Haryana,High,South,2,5,2,80,1,81,Yes,Sensitive,0,1,0,15,2025-12-14,Annually,Mitigation In Progress
V0126,Tara-Bandi,Power Infrastructure,Maharashtra,High,North,6,9,8,50,5,62,No,Sensitive,4,4,5,90,2026-04-15,Half-Yearly,Closed
V0127,"Prasad, Lala and Maharaj",Field Operations,Karnataka,High,North,8,11,8,60,7,52,Yes,Public,4,4,3,120,2026-05-06,Half-Yearly,Closed
V0128,"Mann, Goyal and Bhalla",Tower Maintenance,Mohali,Critical,North,0,3,1,90,0,91,Yes,Sensitive,0,0,0,0,2025-08-17,Annually,Under Review
V0129,Venkatesh-Yohannan,Field Operations,Maharashtra,High,East,9,12,7,50,7,62,No,Confidential,3,4,5,120,2025-07-09,Monthly,Closed
V0130,Sehgal PLC,Data Center Services,UP East,Medium,West,0,4,4,80,2,74,Yes,Internal,0,0,0,30,2025-11-27,Quarterly,Mitigation In Progress
V0131,Zachariah Inc,Power Infrastructure,UP East,High,South,1,4,2,75,1,77,No,Confidential,1,1,0,15,2025-10-27,Monthly,Open
V0132,Patla-Pandya,Field Operations,Mumbai,Low,South,3,12,10,75,4,68,Yes,Internal,4,2,1,60,2026-04-04,Annually,Open
V0133,Balay-Kalita,Network Equipment,Odisha,Medium,South,3,8,4,75,6,73,No,Sensitive,3,2,2,45,2026-02-20,Annually,Mitigation In Progress
V0134,Kaul-Iyer,Power Infrastructure,Karnataka,High,South,0,5,3,75,2,74,Yes,Public,0,1,1,15,2026-04-01,Quarterly,Under Review
V0135,"Nath, Sane and Khare",Field Operations,Haryana,Low,North,4,9,10,70,6,63,No,Sensitive,2,2,2,60,2025-11-30,Annually,Mitigation In Progress
V0136,"Datta, Suresh and Buch",Fiber Operations,Gurugram,Low,South,7,12,6,60,9,55,No,Sensitive,3,4,4,180,2026-02-17,Monthly,Open
V0137,Bhatt-Nadkarni,NOC Operations,Assam,High,South,10,10,9,60,8,49,Yes,Public,5,4,3,90,2025-11-21,Quarterly,Under Review
V0138,"Shere, Date and Mukhopadhyay",Network Equipment,Odisha,Low,East,0,0,0,85,3,98,Yes,Sensitive,0,1,0,0,2026-02-11,Annually,Closed
V0139,Mishra-Gade,Fiber Operations,Delhi,Medium,East,0,1,1,90,0,96,Yes,Internal,0,0,0,15,2026-04-18,Half-Yearly,Mitigation In Progress
V0140,Sekhon and Sons,Data Center Services,West Bengal,Low,North,2,7,3,80,5,81,Yes,Sensitive,2,0,0,30,2025-12-13,Monthly,Open
V0141,Madan LLC,Tower Maintenance,Assam,High,West,0,1,2,85,0,87,Yes,Internal,0,0,1,15,2025-08-18,Monthly,Mitigation In Progress
V0142,"Sachar, Banerjee and Shah",Network Equipment,Kerala,Critical,South,2,3,7,80,1,86,Yes,Confidential,0,0,2,0,2025-10-20,Annually,Under Review
V0143,Aggarwal-Khosla,Cyber Security Services,Gurugram,High,South,0,0,3,85,1,86,Yes,Confidential,0,0,0,0,2026-02-08,Half-Yearly,Closed
V0144,Shukla Inc,Network Equipment,Tamil Nadu,Critical,South,10,11,8,50,7,64,Yes,Confidential,6,5,5,120,2025-10-05,Monthly,Open
V0145,Bhakta PLC,Power Infrastructure,Rajasthan,Critical,East,1,0,0,90,0,85,Yes,Confidential,0,0,0,0,2025-09-30,Annually,Closed
V0146,Luthra-Singhal,Network Equipment,Noida,Critical,South,0,3,3,80,4,76,Yes,Internal,1,2,2,0,2026-03-29,Quarterly,Under Review
V0147,Gokhale and Sons,Cloud Services,Mumbai,Critical,North,0,4,7,90,1,79,No,Confidential,0,0,1,0,2025-07-11,Half-Yearly,Mitigation In Progress
V0148,"Natt, Oza and Mittal",Power Infrastructure,Andhra Pradesh,Low,South,1,2,2,75,2,72,Yes,Confidential,0,0,0,30,2026-06-13,Annually,Open
V0149,Rout-Shere,Field Operations,Noida,High,East,4,11,4,60,4,68,No,Sensitive,2,1,3,45,2026-02-10,Quarterly,Under Review
V0150,"Vyas, Mannan and Doctor",Power Infrastructure,Haryana,High,North,0,3,5,80,0,99,Yes,Public,0,1,0,0,2026-03-08,Half-Yearly,Under Review
V0151,Karan Inc,Field Operations,Punjab,Low,West,0,6,2,90,1,88,No,Public,0,2,0,30,2026-02-22,Annually,Open
V0152,Sule LLC,IT Support,West Bengal,Low,West,3,8,6,85,1,72,Yes,Internal,1,0,2,30,2025-08-09,Half-Yearly,Closed
V0153,Rajan-Chauhan,Tower Maintenance,Assam,Low,West,0,1,0,95,1,89,Yes,Sensitive,0,0,0,0,2026-03-04,Half-Yearly,Mitigation In Progress
V0154,Sandal PLC,Power Infrastructure,Gurugram,Critical,East,9,15,10,50,9,51,Yes,Public,4,4,3,60,2026-05-02,Quarterly,Under Review
V0155,Aggarwal Inc,Field Operations,Telangana,High,South,2,2,2,70,1,85,Yes,Sensitive,1,1,0,0,2025-08-17,Monthly,Under Review
V0156,"Garg, Agarwal and Dora",Power Infrastructure,Maharashtra,Low,East,2,3,3,85,5,74,Yes,Internal,1,0,2,15,2026-03-16,Half-Yearly,Closed
V0157,Gokhale-Cheema,Cloud Services,Haryana,Low,East,1,2,6,85,1,76,Yes,Public,2,0,1,15,2026-05-29,Annually,Open
V0158,"Badal, Suri and Deol",Data Center Services,Mumbai,Medium,West,1,5,6,70,2,73,No,Internal,0,0,0,30,2026-04-15,Monthly,Open
V0159,Shanker-Hayre,RF Optimization,Assam,Low,North,1,5,6,85,4,79,No,Sensitive,0,0,0,0,2025-12-03,Quarterly,Under Review
V0160,"Mane, Dey and Dara",RF Optimization,Delhi,Medium,South,0,3,3,70,5,72,No,Confidential,0,2,0,0,2025-08-31,Quarterly,Mitigation In Progress
V0161,Tandon-Prabhakar,Tower Maintenance,Chandigarh,High,North,0,2,0,85,1,96,Yes,Internal,0,0,0,0,2025-10-24,Annually,Mitigation In Progress
V0162,Shanker Group,RF Optimization,West Bengal,Critical,West,0,0,2,85,0,100,No,Internal,0,0,0,0,2025-11-01,Quarterly,Under Review
V0163,Dewan-Taneja,Network Equipment,Bihar,Low,South,0,0,0,90,2,88,Yes,Internal,0,0,0,0,2026-02-03,Monthly,Mitigation In Progress
V0164,"Bhagat, Ray and De",IT Support,Bihar,Critical,South,1,3,3,85,2,95,Yes,Internal,0,0,0,0,2025-09-19,Annually,Open
V0165,"Chanda, Parmar and D’Alia",Field Operations,Mumbai,Low,East,1,2,3,85,5,72,No,Internal,1,1,0,30,2026-06-20,Annually,Open
V0166,"Palla, Grover and Dave",NOC Operations,Madhya Pradesh,Low,East,0,1,1,100,3,100,Yes,Sensitive,0,0,0,15,2026-05-07,Half-Yearly,Open
V0167,"Mammen, Rajagopal and Soman",Network Equipment,West Bengal,High,East,3,4,3,90,2,84,No,Public,1,2,1,30,2026-06-02,Quarterly,Under Review
V0168,Bora LLC,Data Center Services,UP West,High,West,6,15,10,60,9,57,No,Sensitive,5,3,3,180,2025-12-23,Quarterly,Closed
V0169,Amble PLC,Tower Maintenance,Tamil Nadu,Critical,North,10,15,9,55,6,40,No,Confidential,7,3,3,150,2026-06-04,Annually,Closed
V0170,"Prabhu, Atwal and Kant",IT Support,Assam,Low,East,9,9,8,50,5,55,No,Internal,4,3,3,90,2025-09-17,Monthly,Open
V0171,Bedi-Deo,Cloud Services,Kerala,Medium,South,0,1,1,80,2,95,Yes,Sensitive,1,0,0,15,2026-01-28,Quarterly,Open
